Tetrimino S (k=0)
-1,0,0,0,0,1,1,1
0,-1,0,0,-1,0,-1,1
1,0,0,0,0,-1,-1,-1
0,1,0,0,1,0,1,-1
Tetrimino J (k=1)
-1,0,-1,1,0,0,1,0
-1,-1,0,-1,0,0,0,1
1,-1,1,0,0,0,-1,0
1,1,0,1,0,0,0,-1
Tetrimino L (k=2)
-1,0,0,0,1,0,1,1
0,-1,0,0,0,1,-1,1
1,0,0,0,-1,0,-1,-1
0,1,0,0,0,-1,1,-1
Tetrimino Z (k=3)
-1,1,0,1,0,0,1,0
-1,-1,-1,0,0,0,0,1
1,-1,0,-1,0,0,-1,0
1,1,1,0,0,0,0,-1
Tetrimino T (k=4)
-1,0,0,0,0,1,1,0
0,-1,0,0,-1,0,0,1
1,0,0,0,0,-1,-1,0
0,1,0,0,1,0,0,-1
Tetrimino O (k=5)
0,0,0,1,1,0,1,1
0,0,0,1,1,0,1,1
0,0,0,1,1,0,1,1
0,0,0,1,1,0,1,1
Tetrimino I (k=6)
-1,0,0,0,1,0,2,0
0,-1,0,0,0,1,0,2
1,0,0,0,-1,0,-2,0
0,-1,0,0,0,1,0,2
